1 byte (L, U1, I1, E1 and X1 types),
2 bytes (U2, I2, E2 and X2 types),
4 byte (U4, I4, E4, X4 and R4 types),
8 bytes (U8, I8, X8 and R8 types)

Key ID|Configuration item|Type|Scale|Unit|Description
0x10a30034|CFG-HW-ANT_CFG_PWRDOWN_POL|L|-|-|Power down antenna logic polarity Set to true if polarity of the antenna power down logic is active high. Used by EXT and MADC engines.
0x10a30035|CFG-HW-ANT_CFG_RECOVER|L|-|-|Automatic recovery from short state flag Enable automatic recovery from short state. Used by EXT and MADC engines.
0x20a30036|CFG-HW-ANT_SUP_SWITCH_PIN|U1|-|-|ANT1 PIO number Antenna Switch (ANT1) PIO number. Used by EXT and MADC engines.
0x20a30037|CFG-HW-ANT_SUP_SHORT_PIN|U1|-|-|ANT0 PIO number Antenna Short (ANT0) PIO number. Used by EXT engine.
0x20a30038|CFG-HW-ANT_SUP_OPEN_PIN|U1|-|-|ANT2 PIO number Antenna Switch (ANT2) PIO number. Used by EXT engine.
0x20a30054|CFG-HW-ANT_SUP_ENGINE|E1|-|-|Antenna supervisor engine selection Select the engine used to evaluate antenna state.  The EXT engine uses an external comparator for current measurement. The MADC engine uses built-in measurement ADC and requires only a shunt resistor for current measurement. The MADC engine is available in u-blox generation 9 receivers.  See Table 9 below for a list of possible constants for this item.
0x20a30055|CFG-HW-ANT_SUP_SHORT_THR|U1|-|mV|Antenna supervisor MADC engine short detection threshold Threshold above which antenna short is detected. Used by MADC engine.
0x20a30056|CFG-HW-ANT_SUP_OPEN_THR|U1|-|mV|Antenna supervisor MADC engine open detection threshold Threshold below which antenna open/disconnected is detected. Used by MADC engine.
0x20a30057|CFG-HW-RF_LNA_MODE|E1|-|-|Mode for internal LNA Sets the operating mode for the RF LNA (all RFs). Lowgain or bypass options can be used if there is already a external LNA in front of the chip with sufficient gain.  See Table 10 below for a list of possible constants for this item.
0x10710002|CFG-I2CINPROT-NMEA|L|-|-|Flag to indicate if NMEA should be an input protocol on I2C
0x20510001|CFG-I2C-ADDRESS|U1|-|-|I2C slave address of the receiver (7 bits)
0x10510002|CFG-I2C-EXTENDEDTIMEOUT|L|-|-|Flag to disable timeouting the interface after 1.5 s
0x10510003|CFG-I2C-ENABLED|L|-|-|Flag to indicate if the I2C interface should be enabled
0x10710001|CFG-I2CINPROT-UBX|L|-|-|Flag to indicate if UBX should be an input protocol on I2C
0x10720001|CFG-I2COUTPROT-UBX|L|-|-|Flag to indicate if UBX should be an output protocol on I2C
0x10720002|CFG-I2COUTPROT-NMEA|L|-|-|Flag to indicate if NMEA should be an output protocol on I2C
0x20920001|CFG-INFMSG-UBX_I2C|X1|-|-|Information message enable flags for the UBX protocol on the I2C interface See Table 15 below for a list of possible constants for this item.
0x20920002|CFG-INFMSG-UBX_UART1|X1|-|-|Information message enable flags for the UBX protocol on the UART1 interface See Table 15 below for a list of possible constants for this item.
0x20920005|CFG-INFMSG-UBX_SPI|X1|-|-|Information message enable flags for the UBX protocol on the SPI interface See Table 15 below for a list of possible constants for this item.
0x20920006|CFG-INFMSG-NMEA_I2C|X1|-|-|Information message enable flags for the NMEA protocol on the I2C interface See Table 15 below for a list of possible constants for this item.
0x20920007|CFG-INFMSG-NMEA_UART1|X1|-|-|Information message enable flags for the NMEA protocol on the UART1 interface See Table 15 below for a list of possible constants for this item.
0x2092000a|CFG-INFMSG-NMEA_SPI|X1|-|-|Information message enable flags for the NMEA protocol on the SPI interface See Table 15 below for a list of possible constants for this item.
0x20410001|CFG-ITFM-BBTHRESHOLD|U1|-|-|Broadband jamming detection threshold
0x20410002|CFG-ITFM-CWTHRESHOLD|U1|-|-|CW jamming detection threshold
0x1041000d|CFG-ITFM-ENABLE|L|-|-|Enable interference detection
0x20410010|CFG-ITFM-ANTSETTING|E1|-|-|Antenna setting See Table 17 below for a list of possible constants for this item.
0x10410013|CFG-ITFM-ENABLE_AUX|L|-|-|Scan auxiliary bands Set to true to scan auxiliary bands.  Supported on u-blox 8 / u-blox M8 only, otherwise ignored.
0x20250038|CFG-MOT-GNSSSPEED_THRS|U1|0.01|m/s|GNSS speed threshold below which platform is considered as stationary (a.k.a. static hold threshold) Set this parameter to 0 for firmware default value or behavior.
0x3025003b|CFG-MOT-GNSSDIST_THRS|U2|-|-|Distance above which GNSS-based stationary motion is exit (a.k.a. static hold distance threshold) Set this parameter to 0 for firmware default value or behavior.
0x209100a6|CFG-MSGOUT-NMEA_ID_DTM_I2C|U1|-|-|Output rate of the NMEA-GX-DTM message on port I2C
0x209100aa|CFG-MSGOUT-NMEA_ID_DTM_SPI|U1|-|-|Output rate of the NMEA-GX-DTM message on port SPI
0x209100a7|CFG-MSGOUT-NMEA_ID_DTM_UART1|U1|-|-|Output rate of the NMEA-GX-DTM message on port UART1
0x209100dd|CFG-MSGOUT-NMEA_ID_GBS_I2C|U1|-|-|Output rate of the NMEA-GX-GBS message on port I2C
0x209100e1|CFG-MSGOUT-NMEA_ID_GBS_SPI|U1|-|-|Output rate of the NMEA-GX-GBS message on port SPI
0x209100de|CFG-MSGOUT-NMEA_ID_GBS_UART1|U1|-|-|Output rate of the NMEA-GX-GBS message on port UART1
0x209100ba|CFG-MSGOUT-NMEA_ID_GGA_I2C|U1|-|-|Output rate of the NMEA-GX-GGA message on port I2C
0x209100be|CFG-MSGOUT-NMEA_ID_GGA_SPI|U1|-|-|Output rate of the NMEA-GX-GGA message on port SPI
0x209100bb|CFG-MSGOUT-NMEA_ID_GGA_UART1|U1|-|-|Output rate of the NMEA-GX-GGA message on port UART1
0x209100c9|CFG-MSGOUT-NMEA_ID_GLL_I2C|U1|-|-|Output rate of the NMEA-GX-GLL message on port I2C
0x209100cd|CFG-MSGOUT-NMEA_ID_GLL_SPI|U1|-|-|Output rate of the NMEA-GX-GLL message on port SPI
0x209100ca|CFG-MSGOUT-NMEA_ID_GLL_UART1|U1|-|-|Output rate of the NMEA-GX-GLL message on port UART1
0x209100b5|CFG-MSGOUT-NMEA_ID_GNS_I2C|U1|-|-|Output rate of the NMEA-GX-GNS message on port I2C
0x209100b9|CFG-MSGOUT-NMEA_ID_GNS_SPI|U1|-|-|Output rate of the NMEA-GX-GNS message on port SPI
0x209100b6|CFG-MSGOUT-NMEA_ID_GNS_UART1|U1|-|-|Output rate of the NMEA-GX-GNS message on port UART1
0x209100ce|CFG-MSGOUT-NMEA_ID_GRS_I2C|U1|-|-|Output rate of the NMEA-GX-GRS message on port I2C
0x209100d2|CFG-MSGOUT-NMEA_ID_GRS_SPI|U1|-|-|Output rate of the NMEA-GX-GRS message on port SPI
0x209100cf|CFG-MSGOUT-NMEA_ID_GRS_UART1|U1|-|-|Output rate of the NMEA-GX-GRS message on port UART1
0x209100bf|CFG-MSGOUT-NMEA_ID_GSA_I2C|U1|-|-|Output rate of the NMEA-GX-GSA message on port I2C
0x209100c3|CFG-MSGOUT-NMEA_ID_GSA_SPI|U1|-|-|Output rate of the NMEA-GX-GSA message on port SPI
0x209100c0|CFG-MSGOUT-NMEA_ID_GSA_UART1|U1|-|-|Output rate of the NMEA-GX-GSA message on port UART1
0x209100d3|CFG-MSGOUT-NMEA_ID_GST_I2C|U1|-|-|Output rate of the NMEA-GX-GST message on port I2C
0x209100d7|CFG-MSGOUT-NMEA_ID_GST_SPI|U1|-|-|Output rate of the NMEA-GX-GST message on port SPI
0x209100d4|CFG-MSGOUT-NMEA_ID_GST_UART1|U1|-|-|Output rate of the NMEA-GX-GST message on port UART1
0x209100c4|CFG-MSGOUT-NMEA_ID_GSV_I2C|U1|-|-|Output rate of the NMEA-GX-GSV message on port I2C
0x209100c8|CFG-MSGOUT-NMEA_ID_GSV_SPI|U1|-|-|Output rate of the NMEA-GX-GSV message on port SPI
0x209100c5|CFG-MSGOUT-NMEA_ID_GSV_UART1|U1|-|-|Output rate of the NMEA-GX-GSV message on port UART1
0x20910400|CFG-MSGOUT-NMEA_ID_RLM_I2C|U1|-|-|Output rate of the NMEA-GX-RLM message on port I2C
0x20910404|CFG-MSGOUT-NMEA_ID_RLM_SPI|U1|-|-|Output rate of the NMEA-GX-RLM message on port SPI
0x20910401|CFG-MSGOUT-NMEA_ID_RLM_UART1|U1|-|-|Output rate of the NMEA-GX-RLM message on port UART1
0x209100ab|CFG-MSGOUT-NMEA_ID_RMC_I2C|U1|-|-|Output rate of the NMEA-GX-RMC message on port I2C
0x209100af|CFG-MSGOUT-NMEA_ID_RMC_SPI|U1|-|-|Output rate of the NMEA-GX-RMC message on port SPI
0x209100ac|CFG-MSGOUT-NMEA_ID_RMC_UART1|U1|-|-|Output rate of the NMEA-GX-RMC message on port UART1
0x209100e7|CFG-MSGOUT-NMEA_ID_VLW_I2C|U1|-|-|Output rate of the NMEA-GX-VLW message on port I2C
0x209100eb|CFG-MSGOUT-NMEA_ID_VLW_SPI|U1|-|-|Output rate of the NMEA-GX-VLW message on port SPI
0x209100e8|CFG-MSGOUT-NMEA_ID_VLW_UART1|U1|-|-|Output rate of the NMEA-GX-VLW message on port UART1
0x209100b0|CFG-MSGOUT-NMEA_ID_VTG_I2C|U1|-|-|Output rate of the NMEA-GX-VTG message on port I2C
0x209100b4|CFG-MSGOUT-NMEA_ID_VTG_SPI|U1|-|-|Output rate of the NMEA-GX-VTG message on port SPI
0x209100b1|CFG-MSGOUT-NMEA_ID_VTG_UART1|U1|-|-|Output rate of the NMEA-GX-VTG message on port UART1
0x209100d8|CFG-MSGOUT-NMEA_ID_ZDA_I2C|U1|-|-|Output rate of the NMEA-GX-ZDA message on port I2C
0x209100dc|CFG-MSGOUT-NMEA_ID_ZDA_SPI|U1|-|-|Output rate of the NMEA-GX-ZDA message on port SPI
0x209100d9|CFG-MSGOUT-NMEA_ID_ZDA_UART1|U1|-|-|Output rate of the NMEA-GX-ZDA message on port UART1
0x209100ec|CFG-MSGOUT-PUBX_ID_POLYP_I2C|U1|-|-|Output rate of the NMEA-GX-PUBX00 message on port I2C
0x209100f0|CFG-MSGOUT-PUBX_ID_POLYP_SPI|U1|-|-|Output rate of the NMEA-GX-PUBX00 message on port SPI
0x209100ed|CFG-MSGOUT-PUBX_ID_POLYP_UART1|U1|-|-|Output rate of the NMEA-GX-PUBX00 message on port UART1
0x209100f1|CFG-MSGOUT-PUBX_ID_POLYS_I2C|U1|-|-|Output rate of the NMEA-GX-PUBX03 message on port I2C
0x209100f5|CFG-MSGOUT-PUBX_ID_POLYS_SPI|U1|-|-|Output rate of the NMEA-GX-PUBX03 message on port SPI
0x209100f2|CFG-MSGOUT-PUBX_ID_POLYS_UART1|U1|-|-|Output rate of the NMEA-GX-PUBX03 message on port UART1
0x209100f6|CFG-MSGOUT-PUBX_ID_POLYT_I2C|U1|-|-|Output rate of the NMEA-GX-PUBX04 message on port I2C
0x209100fa|CFG-MSGOUT-PUBX_ID_POLYT_SPI|U1|-|-|Output rate of the NMEA-GX-PUBX04 message on port SPI
0x209100f7|CFG-MSGOUT-PUBX_ID_POLYT_UART1|U1|-|-|Output rate of the NMEA-GX-PUBX04 message on port UART1
0x2091034f|CFG-MSGOUT-UBX_MON_COMMS_I2C|U1|-|-|Output rate of the UBX-MON-COMMS message on port I2C
0x20910353|CFG-MSGOUT-UBX_MON_COMMS_SPI|U1|-|-|Output rate of the UBX-MON-COMMS message on port SPI
0x20910350|CFG-MSGOUT-UBX_MON_COMMS_UART1|U1|-|-|Output rate of the UBX-MON-COMMS message on port UART1
0x209101b9|CFG-MSGOUT-UBX_MON_HW2_I2C|U1|-|-|Output rate of the UBX-MON-HW2 message on port I2C
0x209101bd|CFG-MSGOUT-UBX_MON_HW2_SPI|U1|-|-|Output rate of the UBX-MON-HW2 message on port SPI
0x209101ba|CFG-MSGOUT-UBX_MON_HW2_UART1|U1|-|-|Output rate of the UBX-MON-HW2 message on port UART1
0x20910354|CFG-MSGOUT-UBX_MON_HW3_I2C|U1|-|-|Output rate of the UBX-MON-HW3 message on port I2C
0x20910358|CFG-MSGOUT-UBX_MON_HW3_SPI|U1|-|-|Output rate of the UBX-MON-HW3 message on port SPI
0x20910355|CFG-MSGOUT-UBX_MON_HW3_UART1|U1|-|-|Output rate of the UBX-MON-HW3 message on port UART1
0x209101b4|CFG-MSGOUT-UBX_MON_HW_I2C|U1|-|-|Output rate of the UBX-MON-HW message on port I2C
0x209101b8|CFG-MSGOUT-UBX_MON_HW_SPI|U1|-|-|Output rate of the UBX-MON-HW message on port SPI
0x209101b5|CFG-MSGOUT-UBX_MON_HW_UART1|U1|-|-|Output rate of the UBX-MON-HW message on port UART1
0x209101a5|CFG-MSGOUT-UBX_MON_IO_I2C|U1|-|-|Output rate of the UBX-MON-IO message on port I2C
0x209101a9|CFG-MSGOUT-UBX_MON_IO_SPI|U1|-|-|Output rate of the UBX-MON-IO message on port SPI
0x209101a6|CFG-MSGOUT-UBX_MON_IO_UART1|U1|-|-|Output rate of the UBX-MON-IO message on port UART1
0x20910196|CFG-MSGOUT-UBX_MON_MSGPP_I2C|U1|-|-|Output rate of the UBX-MON-MSGPP message on port I2C
0x2091019a|CFG-MSGOUT-UBX_MON_MSGPP_SPI|U1|-|-|Output rate of the UBX-MON-MSGPP message on port SPI
0x20910197|CFG-MSGOUT-UBX_MON_MSGPP_UART1|U1|-|-|Output rate of the UBX-MON-MSGPP message on port UART1
0x20910359|CFG-MSGOUT-UBX_MON_RF_I2C|U1|-|-|Output rate of the UBX-MON-RF message on port I2C
0x2091035d|CFG-MSGOUT-UBX_MON_RF_SPI|U1|-|-|Output rate of the UBX-MON-RF message on port SPI
0x2091035a|CFG-MSGOUT-UBX_MON_RF_UART1|U1|-|-|Output rate of the UBX-MON-RF message on port UART1
0x209101a0|CFG-MSGOUT-UBX_MON_RXBUF_I2C|U1|-|-|Output rate of the UBX-MON-RXBUF message on port I2C
0x209101a4|CFG-MSGOUT-UBX_MON_RXBUF_SPI|U1|-|-|Output rate of the UBX-MON-RXBUF message on port SPI
0x209101a1|CFG-MSGOUT-UBX_MON_RXBUF_UART1|U1|-|-|Output rate of the UBX-MON-RXBUF message on port UART1
0x20910187|CFG-MSGOUT-UBX_MON_RXR_I2C|U1|-|-|Output rate of the UBX-MON-RXR message on port I2C
0x2091018b|CFG-MSGOUT-UBX_MON_RXR_SPI|U1|-|-|Output rate of the UBX-MON-RXR message on port SPI
0x20910188|CFG-MSGOUT-UBX_MON_RXR_UART1|U1|-|-|Output rate of the UBX-MON-RXR message on port UART1
0x2091038b|CFG-MSGOUT-UBX_MON_SPAN_I2C|U1|-|-|Output rate of the UBX-MON-SPAN message on port I2C
0x2091038f|CFG-MSGOUT-UBX_MON_SPAN_SPI|U1|-|-|Output rate of the UBX-MON-SPAN message on port SPI
0x2091038c|CFG-MSGOUT-UBX_MON_SPAN_UART1|U1|-|-|Output rate of the UBX-MON-SPAN message on port UART1
0x2091019b|CFG-MSGOUT-UBX_MON_TXBUF_I2C|U1|-|-|Output rate of the UBX-MON-TXBUF message on port I2C
0x2091019f|CFG-MSGOUT-UBX_MON_TXBUF_SPI|U1|-|-|Output rate of the UBX-MON-TXBUF message on port SPI
0x2091019c|CFG-MSGOUT-UBX_MON_TXBUF_UART1|U1|-|-|Output rate of the UBX-MON-TXBUF message on port UART1
0x20910079|CFG-MSGOUT-UBX_NAV_AOPSTATUS_I2C|U1|-|-|Output rate of the UBX-NAV-AOPSTATUS message on port I2C
0x2091007d|CFG-MSGOUT-UBX_NAV_AOPSTATUS_SPI|U1|-|-|Output rate of the UBX-NAV-AOPSTATUS message on port SPI
0x2091007a|CFG-MSGOUT-UBX_NAV_AOPSTATUS_UART1|U1|-|-|Output rate of the UBX-NAV-AOPSTATUS message on port UART1
0x20910065|CFG-MSGOUT-UBX_NAV_CLOCK_I2C|U1|-|-|Output rate of the UBX-NAV-CLOCK message on port I2C
0x20910069|CFG-MSGOUT-UBX_NAV_CLOCK_SPI|U1|-|-|Output rate of the UBX-NAV-CLOCK message on port SPI
0x20910066|CFG-MSGOUT-UBX_NAV_CLOCK_UART1|U1|-|-|Output rate of the UBX-NAV-CLOCK message on port UART1
0x20910083|CFG-MSGOUT-UBX_NAV_COV_I2C|U1|-|-|Output rate of the UBX-NAV-COV message on port I2C
0x20910087|CFG-MSGOUT-UBX_NAV_COV_SPI|U1|-|-|Output rate of the UBX-NAV-COV message on port SPI
0x20910084|CFG-MSGOUT-UBX_NAV_COV_UART1|U1|-|-|Output rate of the UBX-NAV-COV message on port UART1
0x20910038|CFG-MSGOUT-UBX_NAV_DOP_I2C|U1|-|-|Output rate of the UBX-NAV-DOP message on port I2C
0x2091003c|CFG-MSGOUT-UBX_NAV_DOP_SPI|U1|-|-|Output rate of the UBX-NAV-DOP message on port SPI
0x20910039|CFG-MSGOUT-UBX_NAV_DOP_UART1|U1|-|-|Output rate of the UBX-NAV-DOP message on port UART1
0x2091015f|CFG-MSGOUT-UBX_NAV_EOE_I2C|U1|-|-|Output rate of the UBX-NAV-EOE message on port I2C
0x20910163|CFG-MSGOUT-UBX_NAV_EOE_SPI|U1|-|-|Output rate of the UBX-NAV-EOE message on port SPI
0x20910160|CFG-MSGOUT-UBX_NAV_EOE_UART1|U1|-|-|Output rate of the UBX-NAV-EOE message on port UART1
0x2091007e|CFG-MSGOUT-UBX_NAV_ODO_I2C|U1|-|-|Output rate of the UBX-NAV-ODO message on port I2C
0x20910082|CFG-MSGOUT-UBX_NAV_ODO_SPI|U1|-|-|Output rate of the UBX-NAV-ODO message on port SPI
0x2091007f|CFG-MSGOUT-UBX_NAV_ODO_UART1|U1|-|-|Output rate of the UBX-NAV-ODO message on port UART1
0x20910010|CFG-MSGOUT-UBX_NAV_ORB_I2C|U1|-|-|Output rate of the UBX-NAV-ORB message on port I2C
0x20910014|CFG-MSGOUT-UBX_NAV_ORB_SPI|U1|-|-|Output rate of the UBX-NAV-ORB message on port SPI
0x20910011|CFG-MSGOUT-UBX_NAV_ORB_UART1|U1|-|-|Output rate of the UBX-NAV-ORB message on port UART1
0x20910415|CFG-MSGOUT-UBX_NAV_PL_I2C|U1|-|-|Output rate of the UBX-NAV-PL message on port I2C
0x20910419|CFG-MSGOUT-UBX_NAV_PL_SPI|U1|-|-|Output rate of the UBX-NAV-PL message on port SPI
0x20910416|CFG-MSGOUT-UBX_NAV_PL_UART1|U1|-|-|Output rate of the UBX-NAV-PL message on port UART1
0x20910024|CFG-MSGOUT-UBX_NAV_POSECEF_I2C|U1|-|-|Output rate of the UBX-NAV-POSECEF message on port I2C
0x20910028|CFG-MSGOUT-UBX_NAV_POSECEF_SPI|U1|-|-|Output rate of the UBX-NAV-POSECEF message on port SPI
0x20910025|CFG-MSGOUT-UBX_NAV_POSECEF_UART1|U1|-|-|Output rate of the UBX-NAV-POSECEF message on port UART1
0x20910029|CFG-MSGOUT-UBX_NAV_POSLLH_I2C|U1|-|-|Output rate of the UBX-NAV-POSLLH message on port I2C
0x2091002d|CFG-MSGOUT-UBX_NAV_POSLLH_SPI|U1|-|-|Output rate of the UBX-NAV-POSLLH message on port SPI
0x2091002a|CFG-MSGOUT-UBX_NAV_POSLLH_UART1|U1|-|-|Output
0x20910006|CFG-MSGOUT-UBX_NAV_PVT_I2C|U1|-|-|Output rate of the UBX-NAV-PVT message on port I2C
0x2091000a|CFG-MSGOUT-UBX_NAV_PVT_SPI|U1|-|-|Output rate of the UBX-NAV-PVT message on port SPI
0x20910007|CFG-MSGOUT-UBX_NAV_PVT_UART1|U1|-|-|Output rate of the UBX-NAV-PVT message on port UART1
0x20910015|CFG-MSGOUT-UBX_NAV_SAT_I2C|U1|-|-|Output rate of the UBX-NAV-SAT message on port I2C
0x20910019|CFG-MSGOUT-UBX_NAV_SAT_SPI|U1|-|-|Output rate of the UBX-NAV-SAT message on port SPI
0x20910016|CFG-MSGOUT-UBX_NAV_SAT_UART1|U1|-|-|Output rate of the UBX-NAV-SAT message on port UART1
0x2091006a|CFG-MSGOUT-UBX_NAV_SBAS_I2C|U1|-|-|Output rate of the UBX-NAV-SBAS message on port I2C
0x2091006e|CFG-MSGOUT-UBX_NAV_SBAS_SPI|U1|-|-|Output rate of the UBX-NAV-SBAS message on port SPI
0x2091006b|CFG-MSGOUT-UBX_NAV_SBAS_UART1|U1|-|-|Output rate of the UBX-NAV-SBAS message on port UART1
0x20910345|CFG-MSGOUT-UBX_NAV_SIG_I2C|U1|-|-|Output rate of the UBX-NAV-SIG message on port I2C
0x20910349|CFG-MSGOUT-UBX_NAV_SIG_SPI|U1|-|-|Output rate of the UBX-NAV-SIG message on port SPI
0x20910346|CFG-MSGOUT-UBX_NAV_SIG_UART1|U1|-|-|Output rate of the UBX-NAV-SIG message on port UART1
0x20910336|CFG-MSGOUT-UBX_NAV_SLAS_I2C|U1|-|-|Output rate of the UBX-NAV-SLAS message on port I2C
0x2091033a|CFG-MSGOUT-UBX_NAV_SLAS_SPI|U1|-|-|Output rate of the UBX-NAV-SLAS message on port SPI
0x20910337|CFG-MSGOUT-UBX_NAV_SLAS_UART1|U1|-|-|Output rate of the UBX-NAV-SLAS message on port UART1
0x2091001a|CFG-MSGOUT-UBX_NAV_STATUS_I2C|U1|-|-|Output rate of the UBX-NAV-STATUS message on port I2C
0x2091001e|CFG-MSGOUT-UBX_NAV_STATUS_SPI|U1|-|-|Output rate of the UBX-NAV-STATUS message on port SPI
0x2091001b|CFG-MSGOUT-UBX_NAV_STATUS_UART1|U1|-|-|Output rate of the UBX-NAV-STATUS message on port UART1
0x20910051|CFG-MSGOUT-UBX_NAV_TIMEBDS_I2C|U1|-|-|Output rate of the UBX-NAV-TIMEBDS message on port I2C
0x20910055|CFG-MSGOUT-UBX_NAV_TIMEBDS_SPI|U1|-|-|Output rate of the UBX-NAV-TIMEBDS message on port SPI
0x20910052|CFG-MSGOUT-UBX_NAV_TIMEBDS_UART1|U1|-|-|Output rate of the UBX-NAV-TIMEBDS message on port UART1
0x20910056|CFG-MSGOUT-UBX_NAV_TIMEGAL_I2C|U1|-|-|Output rate of the UBX-NAV-TIMEGAL message on port I2C
0x2091005a|CFG-MSGOUT-UBX_NAV_TIMEGAL_SPI|U1|-|-|Output rate of the UBX-NAV-TIMEGAL message on port SPI
0x20910057|CFG-MSGOUT-UBX_NAV_TIMEGAL_UART1|U1|-|-|Output rate of the UBX-NAV-TIMEGAL message on port UART1
0x2091004c|CFG-MSGOUT-UBX_NAV_TIMEGLO_I2C|U1|-|-|Output rate of the UBX-NAV-TIMEGLO message on port I2C
0x20910050|CFG-MSGOUT-UBX_NAV_TIMEGLO_SPI|U1|-|-|Output rate of the UBX-NAV-TIMEGLO message on port SPI
0x2091004d|CFG-MSGOUT-UBX_NAV_TIMEGLO_UART1|U1|-|-|Output rate of the UBX-NAV-TIMEGLO message on port UART1
0x20910047|CFG-MSGOUT-UBX_NAV_TIMEGPS_I2C|U1|-|-|Output rate of the UBX-NAV-TIMEGPS message on port I2C
0x2091004b|CFG-MSGOUT-UBX_NAV_TIMEGPS_SPI|U1|-|-|Output rate of the UBX-NAV-TIMEGPS message on port SPI
0x20910048|CFG-MSGOUT-UBX_NAV_TIMEGPS_UART1|U1|-|-|Output rate of the UBX-NAV-TIMEGPS message on port UART1
0x20910060|CFG-MSGOUT-UBX_NAV_TIMELS_I2C|U1|-|-|Output rate of the UBX-NAV-TIMELS message on port I2C
0x20910064|CFG-MSGOUT-UBX_NAV_TIMELS_SPI|U1|-|-|Output rate of the UBX-NAV-TIMELS message on port SPI
0x20910061|CFG-MSGOUT-UBX_NAV_TIMELS_UART1|U1|-|-|Output rate of the UBX-NAV-TIMELS message on port UART1
0x20910386|CFG-MSGOUT-UBX_NAV_TIMEQZSS_I2C|U1|-|-|Output rate of the UBX-NAV-TIMEQZSS message on port I2C
0x2091038a|CFG-MSGOUT-UBX_NAV_TIMEQZSS_SPI|U1|-|-|Output rate of the UBX-NAV-TIMEQZSS message on port SPI
0x20910387|CFG-MSGOUT-UBX_NAV_TIMEQZSS_UART1|U1|-|- Output rate of the UBX-NAV-TIMEQZSS message on port UART1|
0x2091005b|CFG-MSGOUT-UBX_NAV_TIMEUTC_I2C|U1|-|-|Output rate of the UBX-NAV-TIMEUTC message on port I2C
0x2091005f|CFG-MSGOUT-UBX_NAV_TIMEUTC_SPI|U1|-|-|Output rate of the UBX-NAV-TIMEUTC message on port SPI
0x2091005c|CFG-MSGOUT-UBX_NAV_TIMEUTC_UART1|U1|-|-|Output rate of the UBX-NAV-TIMEUTC message on port UART1
0x2091003d|CFG-MSGOUT-UBX_NAV_VELECEF_I2C|U1|-|-|Output rate of the UBX-NAV-VELECEF message on port I2C
0x20910041|CFG-MSGOUT-UBX_NAV_VELECEF_SPI|U1|-|-|Output rate of the UBX-NAV-VELECEF message on port SPI
0x2091003e|CFG-MSGOUT-UBX_NAV_VELECEF_UART1|U1|-|-|Output rate of the UBX-NAV-VELECEF messageon port UART1
0x20910042|CFG-MSGOUT-UBX_NAV_VELNED_I2C|U1|-|-|Output rate of the UBX-NAV-VELNED message on port I2C
